区分,名称,漢字表記,読み（ひらがな）,読み（カタカナ）,備考
生薬名,イクリニン,郁李仁,いくりにん,イクリニン,日本薬局方生薬
生薬名,イレイセン,威霊仙,いれいせん,イレイセン,配合製品数: 3
生薬名,インチン,茗陳,いんちん,インチン,日本薬局方生薬
生薬名,インチンコウ,茗陳蒿,いんちんこう,インチンコウ,配合製品数: 4
生薬名,淫羊かく,淫羊藿,いんようかく,インヨウカク,配合製品数: 1
生薬名,ウイキョウ,茗香,ういきょう,ウイキョウ,配合製品数: 3
生薬名,ウコン,鬱金,うこん,ウコン,日本薬局方生薬
生薬名,ウバイ,烏梅,うばい,ウバイ,日本薬局方生薬
生薬名,ウヤク,烏薬,うやく,ウヤク,配合製品数: 2
生薬名,エンゴサク,延胡索,えんごさく,エンゴサク,配合製品数: 6
生薬名,オウギ,黄耆,おうぎ,オウギ,配合製品数: 26
生薬名,オウゴン,黄芩,おうごん,オウゴン,配合製品数: 70
生薬名,黄精,黄精,おうせい,オウセイ,配合製品数: 1
生薬名,オウバク,黄柏,おうばく,オウバク,配合製品数: 23
生薬名,オウヒ,桜皮,おうひ,オウヒ,配合製品数: 2
生薬名,オウレン,黄連,おうれん,オウレン,配合製品数: 31
生薬名,オンジ,遠志,おんじ,オンジ,配合製品数: 2
生薬名,ガイヨウ,艾葉,がいよう,ガイヨウ,配合製品数: 1
生薬名,カシュウ,何首烏,かしゅう,カシュウ,配合製品数: 2
生薬名,カッコウ,藿香,かっこう,カッコウ,配合製品数: 3
生薬名,カッコン,葛根,かっこん,カッコン,配合製品数: 15
生薬名,カッセキ,滑石,かっせき,カッセキ,配合製品数: 13
生薬名,カロコン,括楼根,かろこん,カロコン,配合製品数: 4
生薬名,カロニン,括楼仁,かろにん,カロニン,日本薬局方生薬
生薬名,カンキョウ,乾姜,かんきょう,カンキョウ,配合製品数: 20
生薬名,乾ジオウ,乾地黄,かんじおう,カンジオウ,配合製品数: 2
生薬名,カンゾウ,甘草,かんぞう,カンゾウ,配合製品数: 192
生薬名,桔梗,桔梗,ききょう,キキョウ,配合製品数: 1
生薬名,キクカ,菊花,きくか,キクカ,配合製品数: 9
生薬名,キコク,枳殻,きこく,キコク,配合製品数: 2
生薬名,キジツ,枳実,きじつ,キジツ,配合製品数: 27
生薬名,キッピ,橘皮,きっぴ,キッピ,配合製品数: 1
生薬名,キョウカツ,羌活,きょうかつ,キョウカツ,配合製品数: 5
生薬名,キョウニン,杏仁,きょうにん,キョウニン,配合製品数: 13
生薬名,キンギンカ,金銀花,きんぎんか,キンギンカ,配合製品数: 6
生薬名,グアヤコールスルホン酸カリウム,グアヤコールスルホン酸カリウム,ぐあやこーるするほん酸かりうむ,グアヤコールスルホン酸カリウム,配合製品数: 1
生薬名,クコシ,枸杞子,くこし,クコシ,配合製品数: 3
生薬名,クジン,苦参,くじん,クジン,配合製品数: 3
生薬名,ケイガイ,荊芥,けいがい,ケイガイ,配合製品数: 22
生薬名,ケイシ,桂枝,けいし,ケイシ,日本薬局方生薬
生薬名,ケイナイキン,鶏内金,けいないきん,ケイナイキン,日本薬局方生薬
生薬名,ケイヒ,桂皮,けいひ,ケイヒ,配合製品数: 90
生薬名,ケツメイシ,決明子,けつめいし,ケツメイシ,配合製品数: 1
生薬名,ケンゴシ,牽牛子,けんごし,ケンゴシ,日本薬局方生薬
生薬名,ゲンジン,玄参,げんじん,ゲンジン,配合製品数: 1
生薬名,コウイ,膠飴,こうい,コウイ,配合製品数: 5
生薬名,コウカ,紅花,こうか,コウカ,配合製品数: 9
生薬名,紅参,紅参,こうじん,コウジン,配合製品数: 1
生薬名,コウブシ,香附子,こうぶし,コウブシ,配合製品数: 12
生薬名,コウベイ,粳米,こうべい,コウベイ,配合製品数: 7
生薬名,コウボク,厚朴,こうぼく,コウボク,配合製品数: 24
生薬名,ゴオウ,牛黄,ごおう,ゴオウ,配合製品数: 2
生薬名,ゴカジン,五加神,ごかじん,ゴカジン,日本薬局方生薬
生薬名,ゴカヒ,五加皮,ごかひ,ゴカヒ,日本薬局方生薬
生薬名,ゴシツ,牛膝,ごしつ,ゴシツ,配合製品数: 10
生薬名,ゴシュユ,呉茱萸,ごしゅゆ,ゴシュユ,配合製品数: 9
生薬名,コツサイホ,骨砕補,こつさいほ,コツサイホ,日本薬局方生薬
生薬名,ゴボウシ,牛蒡子,ごぼうし,ゴボウシ,配合製品数: 8
生薬名,ゴマ,胡麻,ごま,ゴマ,配合製品数: 2
生薬名,ゴミシ,五味子,ごみし,ゴミシ,配合製品数: 11
生薬名,サイコ,柴胡,さいこ,サイコ,配合製品数: 46
生薬名,サイシン,細辛,さいしん,サイシン,配合製品数: 16
生薬名,サイチャ,細茶,さいちゃ,サイチャ,配合製品数: 2
生薬名,サンザシ,山査子,さんざし,サンザシ,配合製品数: 1
生薬名,サンザシン,参楂神,さんざしん,サンザシン,日本薬局方生薬
生薬名,サンシシ,山梔子,さんしし,サンシシ,配合製品数: 44
生薬名,サンシチ,三七,さんしち,サンシチ,日本薬局方生薬
生薬名,サンシュユ,山茱萸,さんしゅゆ,サンシュユ,配合製品数: 12
生薬名,サンショウ,山椒,さんしょう,サンショウ,配合製品数: 3
生薬名,サンソウニン,酸棗仁,さんそうにん,サンソウニン,配合製品数: 2
生薬名,サンヤク,山薬,さんやく,サンヤク,配合製品数: 13
生薬名,サンリョウ,三稜,さんりょう,サンリョウ,日本薬局方生薬
生薬名,ジオウ,地黄,じおう,ジオウ,配合製品数: 59
生薬名,ジコッピ,地骨皮,じこっぴ,ジコッピ,配合製品数: 1
生薬名,シコン,紫根,しこん,シコン,配合製品数: 1
生薬名,シソシ,紫蘇子,しそし,シソシ,配合製品数: 1
生薬名,シツリシ,蒺藜子,しつりし,シツリシ,配合製品数: 3
生薬名,シテイ,柿蒂,してい,シテイ,配合製品数: 1
生薬名,シベット,霊猫香,しべっと,シベット,配合製品数: 1
生薬名,シャカンゾウ,炙甘草,しゃかんぞう,シャカンゾウ,配合製品数: 1
生薬名,シャクヤク,芍薬,しゃくやく,シャクヤク,配合製品数: 119
生薬名,ジャコウ,麝香,じゃこう,ジャコウ,配合製品数: 1
生薬名,シャゼンシ,車前子,しゃぜんし,シャゼンシ,配合製品数: 11
生薬名,シャゼンソウ,車前草,しゃぜんそう,シャゼンソウ,日本薬局方生薬
生薬名,シャニン,砂仁,しゃにん,シャニン,日本薬局方生薬
生薬名,熟ジオウ,熟地黄,じゅくじおう,ジュクジオウ,配合製品数: 2
生薬名,シュクシャ,縮砂,しゅくしゃ,シュクシャ,配合製品数: 5
生薬名,ショウキョウ,生姜,しょうきょう,ショウキョウ,配合製品数: 106
生薬名,ショウジオウ,生地黄,しょうじおう,ショウジオウ,日本薬局方生薬
生薬名,ショウマ,升麻,しょうま,ショウマ,配合製品数: 14
